Ang. Meas. (°)	Ang. Cons. (°))	V1xx (V)	I1xx(A)	R1xx(Ohm)	V2xy (V)	I2xx (A)	R2xy (Ohm)	Virt	Iload ((A)	Rvirt (Ohm)	Vload (V)	Ivirt	Rvirt (Ohm).1	Temp (K)	Applied Field (G)
1,899946E+2	1,900000E+2	2,501704E-2	1,000048E-3	2,501584E+1	-3,178899E-5	1,000046E-3	-3,178753E-2	1,000000E+0	1,746230E-10	5,726622E+9	-4,609500E-5	1,000000E+0	-4,609500E-5	2,907300E+2	1,022600E+4
1,999920E+2	2,000000E+2	2,497459E-2	1,000047E-3	2,497342E+1	-6,871131E-5	1,000046E-3	-6,870815E-2	1,000000E+0	0,000000E+0	Inf	-8,048700E-5	1,000000E+0	-8,048700E-5	2,907400E+2	1,022900E+4
2,099932E+2	2,100000E+2	2,492004E-2	1,000046E-3	2,491889E+1	-9,730293E-5	1,000048E-3	-9,729826E-2	1,000000E+0	-8,731149E-11	-1,145325E+10	-1,082540E-4	1,000000E+0	-1,082540E-4	2,907500E+2	1,022600E+4
2,199921E+2	2,200000E+2	2,484668E-2	1,000050E-3	2,484544E+1	-1,139449E-4	1,000050E-3	-1,139392E-1	1,000000E+0	1,164153E-10	8,589936E+9	-1,262560E-4	1,000000E+0	-1,262560E-4	2,907700E+2	1,022600E+4
2,299932E+2	2,300000E+2	2,475869E-2	1,000050E-3	2,475745E+1	-1,166313E-4	1,000045E-3	-1,166260E-1	1,000000E+0	-2,037268E-10	-4,908534E+9	-1,331270E-4	1,000000E+0	-1,331270E-4	2,907800E+2	1,022500E+4
2,399918E+2	2,400000E+2	2,468144E-2	1,000048E-3	2,468026E+1	-1,051286E-4	1,000046E-3	-1,051237E-1	1,000000E+0	-1,164153E-10	-8,589936E+9	-1,157080E-4	1,000000E+0	-1,157080E-4	2,908000E+2	1,022500E+4
2,499932E+2	2,500000E+2	2,461549E-2	1,000048E-3	2,461431E+1	-8,081778E-5	1,000046E-3	-8,081407E-2	1,000000E+0	-1,164153E-10	-8,589936E+9	-9,275800E-5	1,000000E+0	-9,275800E-5	2,908200E+2	1,022500E+4
2,599930E+2	2,600000E+2	2,456858E-2	1,000048E-3	2,456740E+1	-4,667247E-5	1,000045E-3	-4,667037E-2	1,000000E+0	4,947651E-10	2,021161E+9	-5,632800E-5	1,000000E+0	-5,632800E-5	2,908400E+2	1,022400E+4
2,699915E+2	2,700000E+2	2,455025E-2	1,000044E-3	2,454917E+1	-6,821721E-6	1,000052E-3	-6,821366E-3	1,000000E+0	-2,910383E-10	-3,435974E+9	-1,974700E-5	1,000000E+0	-1,974700E-5	2,908500E+2	1,022400E+4
2,799936E+2	2,800000E+2	2,456782E-2	1,000048E-3	2,456664E+1	3,400247E-5	1,000049E-3	3,400081E-2	1,000000E+0	2,619345E-10	3,817748E+9	2,200600E-5	1,000000E+0	2,200600E-5	2,908900E+2	1,022500E+4
2,899935E+2	2,900000E+2	2,461463E-2	1,000049E-3	2,461342E+1	7,082920E-5	1,000049E-3	7,082573E-2	1,000000E+0	-1,455192E-10	-6,871945E+9	5,895200E-5	1,000000E+0	5,895200E-5	2,909300E+2	1,022400E+4
