Hmes(G)	Hcons(G)	V1xx (V)	I1xx(A)	R1xx(Ohm)	V2xy (V)	I2xx (A)	R2xy (Ohm)	Virt 	Iload ((A)	Rvirt (Ohm)	Vload (V)	Ivirt	Rvirt (Ohm)
4,912000E+3	4,756000E+3	2,531155E-2	1,000014E-3	2,531120E+1	1,950408E-5	1,000009E-3	1,950390E-2	1,000000E+0	-6,402843E-10	-1,561806E+9	9,577000E-6	1,000000E+0	9,577000E-6
6,242000E+3	6,256000E+3	2,529003E-2	1,000010E-3	2,528978E+1	1,956373E-5	1,000003E-3	1,956367E-2	1,000000E+0	-4,365575E-10	-2,290649E+9	9,019000E-6	1,000000E+0	9,019000E-6
7,777000E+3	7,756000E+3	2,526959E-2	1,000010E-3	2,526934E+1	1,988903E-5	1,000010E-3	1,988884E-2	1,000000E+0	-4,365575E-10	-2,290649E+9	7,919000E-6	1,000000E+0	7,919000E-6
9,333000E+3	9,256000E+3	2,524937E-2	1,000009E-3	2,524914E+1	2,009514E-5	1,000011E-3	2,009492E-2	1,000000E+0	-5,238689E-10	-1,908875E+9	8,619000E-6	1,000000E+0	8,619000E-6
1,083900E+4	1,075600E+4	2,522969E-2	1,000012E-3	2,522939E+1	1,989365E-5	1,000008E-3	1,989350E-2	1,000000E+0	-2,910383E-10	-3,435974E+9	8,730000E-6	1,000000E+0	8,730000E-6
1,234900E+4	1,225600E+4	2,521153E-2	1,000007E-3	2,521135E+1	1,970404E-5	1,000007E-3	1,970391E-2	1,000000E+0	-4,074536E-10	-2,454267E+9	8,653000E-6	1,000000E+0	8,653000E-6
1,373300E+4	1,375600E+4	2,519523E-2	1,000008E-3	2,519503E+1	1,959460E-5	1,000010E-3	1,959440E-2	1,000000E+0	-3,201421E-10	-3,123613E+9	1,082300E-5	1,000000E+0	1,082300E-5
1,495200E+4	1,500000E+4	2,518373E-2	1,000019E-3	2,518325E+1	1,957447E-5	1,000012E-3	1,957424E-2	1,000000E+0	-5,238689E-10	-1,908875E+9	8,855000E-6	1,000000E+0	8,855000E-6
1,393200E+4	1,350000E+4	2,519834E-2	1,000013E-3	2,519801E+1	2,056760E-5	1,000012E-3	2,056735E-2	1,000000E+0	-4,074536E-10	-2,454267E+9	8,968000E-6	1,000000E+0	8,968000E-6
1,251500E+4	1,200000E+4	2,521295E-2	1,000007E-3	2,521277E+1	2,078528E-5	1,000013E-3	2,078501E-2	1,000000E+0	-4,074536E-10	-2,454267E+9	8,599000E-6	1,000000E+0	8,599000E-6
1,106900E+4	1,050000E+4	2,523104E-2	1,000015E-3	2,523066E+1	2,069263E-5	1,000011E-3	2,069241E-2	1,000000E+0	-4,365575E-10	-2,290649E+9	8,609000E-6	1,000000E+0	8,609000E-6
9,553000E+3	9,000000E+3	2,524867E-2	1,000007E-3	2,524849E+1	2,081002E-5	1,000013E-3	2,080975E-2	1,000000E+0	-2,619345E-10	-3,817748E+9	1,078600E-5	1,000000E+0	1,078600E-5
8,047000E+3	7,500000E+3	2,526942E-2	1,000012E-3	2,526912E+1	2,059264E-5	1,000004E-3	2,059256E-2	1,000000E+0	-3,201421E-10	-3,123613E+9	7,480000E-6	1,000000E+0	7,480000E-6
6,365000E+3	6,000000E+3	2,529088E-2	1,000012E-3	2,529058E+1	2,016645E-5	1,000009E-3	2,016626E-2	1,000000E+0	-3,492460E-10	-2,863311E+9	9,305000E-6	1,000000E+0	9,305000E-6
4,838000E+3	4,500000E+3	2,531238E-2	1,000011E-3	2,531210E+1	1,958886E-5	1,000009E-3	1,958868E-2	1,000000E+0	-3,201421E-10	-3,123613E+9	7,519000E-6	1,000000E+0	7,519000E-6
3,268000E+3	3,000000E+3	2,532951E-2	1,000008E-3	2,532931E+1	1,859373E-5	1,000005E-3	1,859364E-2	1,000000E+0	-6,693881E-10	-1,493902E+9	9,077000E-6	1,000000E+0	9,077000E-6
1,722000E+3	1,500000E+3	2,534580E-2	1,000004E-3	2,534570E+1	1,721485E-5	1,000009E-3	1,721470E-2	1,000000E+0	-3,201421E-10	-3,123613E+9	7,956000E-6	1,000000E+0	7,956000E-6
5,550000E+2	4,000000E+2	2,535438E-2	1,000013E-3	2,535405E+1	1,646828E-5	1,000013E-3	1,646807E-2	1,000000E+0	-3,492460E-10	-2,863311E+9	4,941000E-6	1,000000E+0	4,941000E-6
4,230000E+2	3,500000E+2	2,535432E-2	1,000012E-3	2,535402E+1	1,633691E-5	1,000009E-3	1,633676E-2	1,000000E+0	-2,037268E-10	-4,908534E+9	4,869000E-6	1,000000E+0	4,869000E-6
3,550000E+2	3,000000E+2	2,535531E-2	1,000009E-3	2,535508E+1	1,655106E-5	1,000013E-3	1,655084E-2	1,000000E+0	-2,328306E-10	-4,294968E+9	5,316000E-6	1,000000E+0	5,316000E-6
