Hmes(G)	Hcons(G)	V1xx (V)	I1xx(A)	R1xx(Ohm)	V2xy (V)	I2xx (A)	R2xy (Ohm)	Virt 	Iload ((A)	Rvirt (Ohm)	Vload (V)	Ivirt	Rvirt (Ohm)
4,720000E+3	4,624000E+3	2,504001E-2	1,000046E-3	2,503886E+1	6,822808E-6	1,000046E-3	6,822494E-3	1,000000E+0	2,037268E-10	4,908534E+9	-6,561000E-6	1,000000E+0	-6,561000E-6
6,352000E+3	6,624000E+3	2,503067E-2	1,000040E-3	2,502967E+1	6,660253E-6	1,000043E-3	6,659966E-3	1,000000E+0	8,731149E-11	1,145325E+10	-3,681000E-6	1,000000E+0	-3,681000E-6
8,213000E+3	8,624000E+3	2,502553E-2	1,000042E-3	2,502448E+1	6,575152E-6	1,000041E-3	6,574883E-3	1,000000E+0	8,731149E-10	1,145325E+9	-6,076000E-6	1,000000E+0	-6,076000E-6
1,006600E+4	1,000000E+4	2,502210E-2	1,000042E-3	2,502105E+1	6,666893E-6	1,000042E-3	6,666613E-3	1,000000E+0	-2,037268E-10	-4,908534E+9	-5,551000E-6	1,000000E+0	-5,551000E-6
9,259000E+3	9,000000E+3	2,502260E-2	1,000041E-3	2,502157E+1	6,768287E-6	1,000044E-3	6,767989E-3	1,000000E+0	4,656613E-10	2,147484E+9	-5,936000E-6	1,000000E+0	-5,936000E-6
8,253000E+3	8,000000E+3	2,502901E-2	1,000047E-3	2,502783E+1	6,778549E-6	1,000044E-3	6,778251E-3	1,000000E+0	4,074536E-10	2,454267E+9	-5,099000E-6	1,000000E+0	-5,099000E-6
7,232000E+3	7,000000E+3	2,503059E-2	1,000043E-3	2,502951E+1	6,791025E-6	1,000046E-3	6,790713E-3	1,000000E+0	2,037268E-10	4,908534E+9	-8,846000E-6	1,000000E+0	-8,846000E-6
6,290000E+3	6,000000E+3	2,503555E-2	1,000045E-3	2,503442E+1	6,816676E-6	1,000038E-3	6,816417E-3	1,000000E+0	2,328306E-10	4,294968E+9	-4,901000E-6	1,000000E+0	-4,901000E-6
5,209000E+3	5,000000E+3	2,503942E-2	1,000043E-3	2,503834E+1	6,836088E-6	1,000043E-3	6,835794E-3	1,000000E+0	-2,328306E-10	-4,294968E+9	-4,449000E-6	1,000000E+0	-4,449000E-6
4,184000E+3	4,000000E+3	2,504237E-2	1,000042E-3	2,504132E+1	6,886582E-6	1,000041E-3	6,886299E-3	1,000000E+0	6,402843E-10	1,561806E+9	-6,523000E-6	1,000000E+0	-6,523000E-6
