Hmes(G)	Hcons(G)	V1xx (V)	I1xx(A)	R1xx(Ohm)	V2xy (V)	I2xx (A)	R2xy (Ohm)	Virt 	Iload ((A)	Rvirt (Ohm)	Vload (V)	Ivirt	Rvirt (Ohm)
-2,360000E+2	-3,000000E+2	2,537417E-2	1,000009E-3	2,537394E+1	6,312943E-6	1,000010E-3	6,312880E-3	1,000000E+0	-4,947651E-10	-2,021161E+9	-5,831000E-6	1,000000E+0	-5,831000E-6
-2,950000E+2	-3,500000E+2	2,537409E-2	1,000010E-3	2,537384E+1	5,798325E-6	1,000011E-3	5,798261E-3	1,000000E+0	-2,910383E-10	-3,435974E+9	-7,222000E-6	1,000000E+0	-7,222000E-6
-3,530000E+2	-4,000000E+2	2,537638E-2	1,000016E-3	2,537597E+1	5,425539E-6	1,000016E-3	5,425452E-3	1,000000E+0	-5,238689E-10	-1,908875E+9	-7,455000E-6	1,000000E+0	-7,455000E-6
-1,541000E+3	-1,900000E+3	2,536915E-2	1,000015E-3	2,536877E+1	4,344603E-6	1,000013E-3	4,344546E-3	1,000000E+0	-4,074536E-10	-2,454267E+9	-9,030000E-6	1,000000E+0	-9,030000E-6
-3,080000E+3	-3,400000E+3	2,536494E-2	1,000020E-3	2,536443E+1	4,367035E-6	1,000018E-3	4,366957E-3	1,000000E+0	-3,492460E-10	-2,863311E+9	-9,292000E-6	1,000000E+0	-9,292000E-6
-4,642000E+3	-4,900000E+3	2,535914E-2	1,000016E-3	2,535873E+1	4,219772E-6	1,000016E-3	4,219704E-3	1,000000E+0	-3,201421E-10	-3,123613E+9	-5,661000E-6	1,000000E+0	-5,661000E-6
-6,254000E+3	-6,400000E+3	2,535462E-2	1,000015E-3	2,535424E+1	4,129442E-6	1,000012E-3	4,129392E-3	1,000000E+0	-6,693881E-10	-1,493902E+9	-6,605000E-6	1,000000E+0	-6,605000E-6
-7,858000E+3	-7,900000E+3	2,534752E-2	1,000007E-3	2,534734E+1	4,207298E-6	1,000011E-3	4,207252E-3	1,000000E+0	-4,365575E-10	-2,290649E+9	-7,541000E-6	1,000000E+0	-7,541000E-6
-9,375000E+3	-9,400000E+3	2,534274E-2	1,000011E-3	2,534246E+1	4,152879E-6	1,000007E-3	4,152850E-3	1,000000E+0	-2,328306E-10	-4,294968E+9	-7,539000E-6	1,000000E+0	-7,539000E-6
-1,093400E+4	-1,090000E+4	2,533813E-2	1,000015E-3	2,533775E+1	4,061242E-6	1,000014E-3	4,061185E-3	1,000000E+0	-3,201421E-10	-3,123613E+9	-7,932000E-6	1,000000E+0	-7,932000E-6
-1,245500E+4	-1,240000E+4	2,533199E-2	1,000017E-3	2,533156E+1	3,970308E-6	1,000017E-3	3,970240E-3	1,000000E+0	-2,910383E-10	-3,435974E+9	-7,064000E-6	1,000000E+0	-7,064000E-6
-1,366000E+4	-1,390000E+4	2,532653E-2	1,000020E-3	2,532602E+1	4,255581E-6	1,000020E-3	4,255495E-3	1,000000E+0	-4,074536E-10	-2,454267E+9	-7,206000E-6	1,000000E+0	-7,206000E-6
-1,493400E+4	-1,500000E+4	2,532434E-2	1,000018E-3	2,532388E+1	3,897782E-6	1,000016E-3	3,897720E-3	1,000000E+0	-3,492460E-10	-2,863311E+9	-5,676000E-6	1,000000E+0	-5,676000E-6
-1,391000E+4	-1,350000E+4	2,532711E-2	1,000015E-3	2,532673E+1	3,192247E-6	1,000017E-3	3,192192E-3	1,000000E+0	-2,037268E-10	-4,908534E+9	-1,105000E-5	1,000000E+0	-1,105000E-5
-1,247900E+4	-1,200000E+4	2,533115E-2	1,000010E-3	2,533090E+1	3,193152E-6	1,000016E-3	3,193101E-3	1,000000E+0	-4,947651E-10	-2,021161E+9	-1,050700E-5	1,000000E+0	-1,050700E-5
-1,117200E+4	-1,050000E+4	2,533568E-2	1,000013E-3	2,533535E+1	3,208945E-6	1,000017E-3	3,208891E-3	1,000000E+0	-5,820766E-11	-1,717987E+10	-1,094400E-5	1,000000E+0	-1,094400E-5
-9,603000E+3	-9,000000E+3	2,534291E-2	1,000016E-3	2,534250E+1	3,243246E-6	1,000016E-3	3,243194E-3	1,000000E+0	-7,275958E-10	-1,374389E+9	-7,636000E-6	1,000000E+0	-7,636000E-6
-8,003000E+3	-7,500000E+3	2,534652E-2	1,000017E-3	2,534609E+1	3,272416E-6	1,000015E-3	3,272367E-3	1,000000E+0	-9,022187E-10	-1,108379E+9	-6,996000E-6	1,000000E+0	-6,996000E-6
-6,500000E+3	-6,000000E+3	2,535300E-2	1,000018E-3	2,535254E+1	3,299777E-6	1,000013E-3	3,299734E-3	1,000000E+0	-6,984919E-10	-1,431656E+9	-5,087000E-6	1,000000E+0	-5,087000E-6
-4,933000E+3	-4,500000E+3	2,535896E-2	1,000010E-3	2,535871E+1	3,170318E-6	1,000017E-3	3,170264E-3	1,000000E+0	-4,074536E-10	-2,454267E+9	-1,045600E-5	1,000000E+0	-1,045600E-5
-3,354000E+3	-3,000000E+3	2,536569E-2	1,000017E-3	2,536526E+1	3,318788E-6	1,000017E-3	3,318732E-3	1,000000E+0	-3,492460E-10	-2,863311E+9	-7,191000E-6	1,000000E+0	-7,191000E-6
-1,831000E+3	-1,500000E+3	2,536997E-2	1,000015E-3	2,536959E+1	3,364456E-6	1,000013E-3	3,364412E-3	1,000000E+0	-2,619345E-10	-3,817748E+9	-8,424000E-6	1,000000E+0	-8,424000E-6
-5,260000E+2	-4,000000E+2	2,537476E-2	1,000013E-3	2,537443E+1	4,461086E-6	1,000010E-3	4,461041E-3	1,000000E+0	-8,149073E-10	-1,227133E+9	-5,756000E-6	1,000000E+0	-5,756000E-6
-4,230000E+2	-3,500000E+2	2,537435E-2	1,000016E-3	2,537394E+1	4,866162E-6	1,000015E-3	4,866089E-3	1,000000E+0	-6,402843E-10	-1,561806E+9	-6,426000E-6	1,000000E+0	-6,426000E-6
-3,550000E+2	-3,000000E+2	2,537267E-2	1,000013E-3	2,537234E+1	5,202737E-6	1,000009E-3	5,202690E-3	1,000000E+0	-5,820766E-11	-1,717987E+10	-3,281000E-6	1,000000E+0	-3,281000E-6
