Hmes(G)	Hcons(G)	V1xx (V)	I1xx(A)	R1xx(Ohm)	V2xy (V)	I2xx (A)	R2xy (Ohm)	Virt 	Iload ((A)	Rvirt (Ohm)	Vload (V)	Ivirt	Rvirt (Ohm)
4,837000E+3	4,742000E+3	2,480884E-2	1,000042E-3	2,480780E+1	-1,169193E-4	1,000039E-3	-1,169148E-1	1,000000E+0	-2,619345E-10	-3,817748E+9	-1,299330E-4	1,000000E+0	-1,299330E-4
6,282000E+3	6,742000E+3	2,479949E-2	1,000040E-3	2,479850E+1	-1,171262E-4	1,000036E-3	-1,171219E-1	1,000000E+0	3,783498E-10	2,643057E+9	-1,276800E-4	1,000000E+0	-1,276800E-4
8,514000E+3	8,742000E+3	2,479353E-2	1,000041E-3	2,479251E+1	-1,173093E-4	1,000046E-3	-1,173039E-1	1,000000E+0	-2,619345E-10	-3,817748E+9	-1,301820E-4	1,000000E+0	-1,301820E-4
1,006300E+4	1,000000E+4	2,478883E-2	1,000043E-3	2,478776E+1	-1,173695E-4	1,000044E-3	-1,173643E-1	1,000000E+0	5,529728E-10	1,808407E+9	-1,314600E-4	1,000000E+0	-1,314600E-4
9,236000E+3	9,000000E+3	2,479260E-2	1,000043E-3	2,479153E+1	-1,172991E-4	1,000041E-3	-1,172943E-1	1,000000E+0	4,656613E-10	2,147484E+9	-1,304030E-4	1,000000E+0	-1,304030E-4
8,289000E+3	8,000000E+3	2,479707E-2	1,000042E-3	2,479603E+1	-1,172359E-4	1,000042E-3	-1,172310E-1	1,000000E+0	1,164153E-10	8,589936E+9	-1,280250E-4	1,000000E+0	-1,280250E-4
7,208000E+3	7,000000E+3	2,479941E-2	1,000042E-3	2,479837E+1	-1,171407E-4	1,000041E-3	-1,171359E-1	1,000000E+0	1,164153E-10	8,589936E+9	-1,319540E-4	1,000000E+0	-1,319540E-4
6,282000E+3	6,000000E+3	2,480345E-2	1,000037E-3	2,480253E+1	-1,170410E-4	1,000037E-3	-1,170367E-1	1,000000E+0	8,731149E-11	1,145325E+10	-1,293010E-4	1,000000E+0	-1,293010E-4
5,198000E+3	5,000000E+3	2,480638E-2	1,000034E-3	2,480554E+1	-1,169502E-4	1,000041E-3	-1,169454E-1	1,000000E+0	-2,910383E-11	-3,435974E+10	-1,305940E-4	1,000000E+0	-1,305940E-4
4,183000E+3	4,000000E+3	2,481067E-2	1,000036E-3	2,480978E+1	-1,168624E-4	1,000040E-3	-1,168577E-1	1,000000E+0	2,910383E-11	3,435974E+10	-1,289010E-4	1,000000E+0	-1,289010E-4
3,180000E+3	3,000000E+3	2,481286E-2	1,000037E-3	2,481194E+1	-1,167260E-4	1,000040E-3	-1,167213E-1	1,000000E+0	-2,910383E-11	-3,435974E+10	-1,327160E-4	1,000000E+0	-1,327160E-4
2,131000E+3	2,000000E+3	2,481816E-2	1,000043E-3	2,481709E+1	-1,166103E-4	1,000036E-3	-1,166061E-1	1,000000E+0	-1,746230E-10	-5,726622E+9	-1,311650E-4	1,000000E+0	-1,311650E-4
1,166000E+3	1,000000E+3	2,482262E-2	1,000039E-3	2,482165E+1	-1,164279E-4	1,000040E-3	-1,164232E-1	1,000000E+0	-2,910383E-11	-3,435974E+10	-1,314860E-4	1,000000E+0	-1,314860E-4
4,830000E+2	4,000000E+2	2,482539E-2	1,000043E-3	2,482432E+1	-1,162713E-4	1,000040E-3	-1,162666E-1	1,000000E+0	2,037268E-10	4,908534E+9	-1,293600E-4	1,000000E+0	-1,293600E-4
4,050000E+2	3,500000E+2	2,482470E-2	1,000036E-3	2,482381E+1	-1,162379E-4	1,000039E-3	-1,162333E-1	1,000000E+0	1,746230E-10	5,726622E+9	-1,290630E-4	1,000000E+0	-1,290630E-4
3,440000E+2	3,000000E+2	2,482580E-2	1,000040E-3	2,482481E+1	-1,162161E-4	1,000041E-3	-1,162114E-1	1,000000E+0	8,731149E-11	1,145325E+10	-1,299730E-4	1,000000E+0	-1,299730E-4
2,840000E+2	2,500000E+2	2,482606E-2	1,000041E-3	2,482504E+1	-1,161944E-4	1,000040E-3	-1,161898E-1	1,000000E+0	0,000000E+0	Inf	-1,313080E-4	1,000000E+0	-1,313080E-4
2,250000E+2	2,000000E+2	2,482749E-2	1,000034E-3	2,482665E+1	-1,161551E-4	1,000036E-3	-1,161509E-1	1,000000E+0	-5,820766E-11	-1,717987E+10	-1,307250E-4	1,000000E+0	-1,307250E-4
1,650000E+2	1,500000E+2	2,482749E-2	1,000040E-3	2,482650E+1	-1,161047E-4	1,000039E-3	-1,161002E-1	1,000000E+0	-5,820766E-11	-1,717987E+10	-1,290300E-4	1,000000E+0	-1,290300E-4
1,060000E+2	1,000000E+2	2,483042E-2	1,000035E-3	2,482955E+1	-1,159979E-4	1,000036E-3	-1,159937E-1	1,000000E+0	-8,731149E-11	-1,145325E+10	-1,304770E-4	1,000000E+0	-1,304770E-4
4,900000E+1	5,000000E+1	2,483479E-2	1,000039E-3	2,483382E+1	-1,157572E-4	1,000041E-3	-1,157524E-1	1,000000E+0	-2,910383E-11	-3,435974E+10	-1,269080E-4	1,000000E+0	-1,269080E-4
4,400000E+1	0,000000E+0	2,483480E-2	1,000039E-3	2,483383E+1	-1,157303E-4	1,000040E-3	-1,157257E-1	1,000000E+0	-2,037268E-10	-4,908534E+9	-1,297580E-4	1,000000E+0	-1,297580E-4
4,300000E+1	-5,000000E+1	2,483598E-2	1,000040E-3	2,483499E+1	-1,157393E-4	1,000043E-3	-1,157344E-1	1,000000E+0	4,656613E-10	2,147484E+9	-1,304230E-4	1,000000E+0	-1,304230E-4
-1,100000E+1	-1,000000E+2	2,483706E-2	1,000041E-3	2,483604E+1	-1,145887E-4	1,000040E-3	-1,145841E-1	1,000000E+0	5,820766E-11	1,717987E+10	-1,274010E-4	1,000000E+0	-1,274010E-4
-6,900000E+1	-1,500000E+2	2,482892E-2	1,000042E-3	2,482788E+1	-1,160578E-4	1,000041E-3	-1,160530E-1	1,000000E+0	1,164153E-10	8,589936E+9	-1,273940E-4	1,000000E+0	-1,273940E-4
-1,260000E+2	-2,000000E+2	2,482731E-2	1,000039E-3	2,482634E+1	-1,161161E-4	1,000040E-3	-1,161114E-1	1,000000E+0	5,820766E-11	1,717987E+10	-1,304050E-4	1,000000E+0	-1,304050E-4
-1,850000E+2	-2,500000E+2	2,482648E-2	1,000038E-3	2,482554E+1	-1,161697E-4	1,000038E-3	-1,161653E-1	1,000000E+0	-8,731149E-11	-1,145325E+10	-1,269240E-4	1,000000E+0	-1,269240E-4
-2,440000E+2	-3,000000E+2	2,482513E-2	1,000035E-3	2,482426E+1	-1,162010E-4	1,000037E-3	-1,161967E-1	1,000000E+0	1,164153E-10	8,589936E+9	-1,268120E-4	1,000000E+0	-1,268120E-4
-3,030000E+2	-3,500000E+2	2,482564E-2	1,000041E-3	2,482462E+1	-1,161993E-4	1,000043E-3	-1,161943E-1	1,000000E+0	5,820766E-11	1,717987E+10	-1,311410E-4	1,000000E+0	-1,311410E-4
-3,620000E+2	-4,000000E+2	2,482573E-2	1,000037E-3	2,482481E+1	-1,162333E-4	1,000039E-3	-1,162288E-1	1,000000E+0	2,328306E-10	4,294968E+9	-1,289620E-4	1,000000E+0	-1,289620E-4
-1,255000E+3	-1,400000E+3	2,482077E-2	1,000043E-3	2,481970E+1	-1,164634E-4	1,000041E-3	-1,164586E-1	1,000000E+0	2,328306E-10	4,294968E+9	-1,325980E-4	1,000000E+0	-1,325980E-4
-2,331000E+3	-2,400000E+3	2,481808E-2	1,000042E-3	2,481704E+1	-1,165940E-4	1,000035E-3	-1,165900E-1	1,000000E+0	2,910383E-10	3,435974E+9	-1,296580E-4	1,000000E+0	-1,296580E-4
-3,370000E+3	-3,400000E+3	2,481270E-2	1,000040E-3	2,481171E+1	-1,166730E-4	1,000037E-3	-1,166687E-1	1,000000E+0	4,074536E-10	2,454267E+9	-1,307580E-4	1,000000E+0	-1,307580E-4
-4,398000E+3	-4,400000E+3	2,480884E-2	1,000040E-3	2,480785E+1	-1,167813E-4	1,000041E-3	-1,167765E-1	1,000000E+0	1,164153E-10	8,589936E+9	-1,329460E-4	1,000000E+0	-1,329460E-4
-5,369000E+3	-5,400000E+3	2,480523E-2	1,000045E-3	2,480411E+1	-1,168607E-4	1,000040E-3	-1,168560E-1	1,000000E+0	1,164153E-10	8,589936E+9	-1,338830E-4	1,000000E+0	-1,338830E-4
-6,438000E+3	-6,400000E+3	2,480160E-2	1,000041E-3	2,480058E+1	-1,169292E-4	1,000047E-3	-1,169237E-1	1,000000E+0	3,783498E-10	2,643057E+9	-1,308920E-4	1,000000E+0	-1,308920E-4
-7,460000E+3	-7,400000E+3	2,479732E-2	1,000044E-3	2,479623E+1	-1,169959E-4	1,000038E-3	-1,169915E-1	1,000000E+0	1,164153E-10	8,589936E+9	-1,318800E-4	1,000000E+0	-1,318800E-4
