Ang. Meas. (°)	Ang. Cons. (°))	V1xx (V)	I1xx(A)	R1xx(Ohm)	V2xy (V)	I2xx (A)	R2xy (Ohm)	Virt	Iload ((A)	Rvirt (Ohm)	Vload (V)	Ivirt	Rvirt (Ohm).1	Temp (K)	Applied Field (G)
-3,999248E+1	-4,000000E+1	2,513575E-2	1,000002E-3	2,513570E+1	-1,214730E-5	1,000002E-3	-1,214727E-2	1,000000E+0	-7,275958E-10	-1,374389E+9	-2,702000E-5	1,000000E+0	-2,702000E-5	2,930900E+2	5,089000E+3
-3,000656E+1	-3,000000E+1	2,514879E-2	1,000002E-3	2,514874E+1	-8,229863E-6	9,999961E-4	-8,229895E-3	1,000000E+0	-8,149073E-10	-1,227133E+9	-2,417200E-5	1,000000E+0	-2,417200E-5	2,931000E+2	5,088000E+3
-2,000568E+1	-2,000000E+1	2,515838E-2	1,000003E-3	2,515830E+1	-4,308803E-6	1,000001E-3	-4,308799E-3	1,000000E+0	-4,365575E-10	-2,290649E+9	-1,909200E-5	1,000000E+0	-1,909200E-5	2,931100E+2	5,088000E+3
-1,000576E+1	-1,000000E+1	2,516636E-2	1,000004E-3	2,516626E+1	-6,654713E-7	1,000001E-3	-6,654706E-4	1,000000E+0	-4,947651E-10	-2,021161E+9	-1,592500E-5	1,000000E+0	-1,592500E-5	2,931200E+2	5,088000E+3
-5,280000E-3	0,000000E+0	2,516778E-2	1,000005E-3	2,516765E+1	2,997185E-6	9,999981E-4	2,997191E-3	1,000000E+0	-8,149073E-10	-1,227133E+9	-1,113400E-5	1,000000E+0	-1,113400E-5	2,931200E+2	5,088000E+3
9,994640E+0	1,000000E+1	2,516803E-2	1,000004E-3	2,516793E+1	6,489143E-6	1,000003E-3	6,489124E-3	1,000000E+0	-6,402843E-10	-1,561806E+9	-7,476000E-6	1,000000E+0	-7,476000E-6	2,931400E+2	5,088000E+3
1,999360E+1	2,000000E+1	2,516340E-2	9,999998E-4	2,516341E+1	9,961987E-6	9,999998E-4	9,961989E-3	1,000000E+0	-7,858034E-10	-1,272583E+9	-3,374000E-6	1,000000E+0	-3,374000E-6	2,931600E+2	5,088000E+3
2,999472E+1	3,000000E+1	2,515608E-2	9,999980E-4	2,515613E+1	1,321323E-5	1,000002E-3	1,321320E-2	1,000000E+0	-7,275958E-10	-1,374389E+9	-1,505000E-6	1,000000E+0	-1,505000E-6	2,931700E+2	5,088000E+3
3,999488E+1	4,000000E+1	2,514542E-2	1,000001E-3	2,514539E+1	1,673838E-5	9,999975E-4	1,673843E-2	1,000000E+0	-6,693881E-10	-1,493902E+9	1,492000E-6	1,000000E+0	1,492000E-6	2,931800E+2	5,088000E+3
4,999352E+1	5,000000E+1	2,513188E-2	9,999990E-4	2,513191E+1	2,108554E-5	9,999977E-4	2,108559E-2	1,000000E+0	-7,275958E-10	-1,374389E+9	8,492000E-6	1,000000E+0	8,492000E-6	2,932000E+2	5,089000E+3
