Hmes(G)	Hcons(G)	V1xx (V)	I1xx(A)	R1xx(Ohm)	V2xy (V)	I2xx (A)	R2xy (Ohm)	Virt 	Iload ((A)	Rvirt (Ohm)	Vload (V)	Ivirt	Rvirt (Ohm)
4,787000E+3	4,605000E+3	2,529860E-2	1,000013E-3	2,529827E+1	-2,046059E-6	1,000007E-3	-2,046045E-3	1,000000E+0	-4,365575E-10	-2,290649E+9	-1,471200E-5	1,000000E+0	-1,471200E-5
5,959000E+3	6,105000E+3	2,527714E-2	1,000013E-3	2,527681E+1	-7,458426E-7	1,000011E-3	-7,458344E-4	1,000000E+0	-2,619345E-10	-3,817748E+9	-1,466300E-5	1,000000E+0	-1,466300E-5
7,618000E+3	7,605000E+3	2,525572E-2	1,000013E-3	2,525539E+1	2,712177E-7	1,000011E-3	2,712147E-4	1,000000E+0	-6,984919E-10	-1,431656E+9	-1,293700E-5	1,000000E+0	-1,293700E-5
9,133000E+3	9,105000E+3	2,523447E-2	1,000014E-3	2,523412E+1	1,051189E-6	1,000015E-3	1,051173E-3	1,000000E+0	-4,365575E-10	-2,290649E+9	-1,265100E-5	1,000000E+0	-1,265100E-5
1,071100E+4	1,060500E+4	2,521345E-2	1,000009E-3	2,521322E+1	1,599200E-6	1,000009E-3	1,599186E-3	1,000000E+0	-6,693881E-10	-1,493902E+9	-9,212000E-6	1,000000E+0	-9,212000E-6
1,219100E+4	1,210500E+4	2,519798E-2	1,000009E-3	2,519775E+1	2,014434E-6	1,000011E-3	2,014411E-3	1,000000E+0	-4,365575E-10	-2,290649E+9	-9,514000E-6	1,000000E+0	-9,514000E-6
1,361800E+4	1,360500E+4	2,518001E-2	1,000011E-3	2,517973E+1	2,168235E-6	1,000008E-3	2,168217E-3	1,000000E+0	-4,365575E-10	-2,290649E+9	-1,042100E-5	1,000000E+0	-1,042100E-5
1,488900E+4	1,500000E+4	2,516648E-2	1,000014E-3	2,516613E+1	2,227784E-6	1,000015E-3	2,227751E-3	1,000000E+0	-3,201421E-10	-3,123613E+9	-8,914000E-6	1,000000E+0	-8,914000E-6
1,396100E+4	1,350000E+4	2,517774E-2	1,000012E-3	2,517744E+1	2,191372E-6	1,000011E-3	2,191348E-3	1,000000E+0	-5,820766E-10	-1,717987E+9	-9,540000E-6	1,000000E+0	-9,540000E-6
1,254700E+4	1,200000E+4	2,519175E-2	1,000005E-3	2,519162E+1	1,955791E-6	1,000005E-3	1,955781E-3	1,000000E+0	-5,820766E-10	-1,717987E+9	-1,158200E-5	1,000000E+0	-1,158200E-5
