Hmes(G)	Hcons(G)	V1xx (V)	I1xx(A)	R1xx(Ohm)	V2xy (V)	I2xx (A)	R2xy (Ohm)	Virt 	Iload ((A)	Rvirt (Ohm)	Vload (V)	Ivirt	Rvirt (Ohm)
-1,860000E+2	-2,500000E+2	2,457766E-2	1,000036E-3	2,457678E+1	-1,168427E-6	1,000042E-3	-1,168378E-3	1,000000E+0	-5,820766E-11	-1,717987E+10	-1,405300E-5	1,000000E+0	-1,405300E-5
-2,450000E+2	-3,000000E+2	2,457641E-2	1,000040E-3	2,457543E+1	-2,008057E-6	1,000044E-3	-2,007968E-3	1,000000E+0	4,074536E-10	2,454267E+9	-1,384100E-5	1,000000E+0	-1,384100E-5
-3,030000E+2	-3,500000E+2	2,457682E-2	1,000038E-3	2,457589E+1	-2,499944E-6	1,000036E-3	-2,499854E-3	1,000000E+0	3,201421E-10	3,123613E+9	-1,500700E-5	1,000000E+0	-1,500700E-5
-3,610000E+2	-4,000000E+2	2,457674E-2	1,000039E-3	2,457578E+1	-2,849496E-6	1,000032E-3	-2,849405E-3	1,000000E+0	3,492460E-10	2,863311E+9	-1,535500E-5	1,000000E+0	-1,535500E-5
-1,306000E+3	-1,400000E+3	2,457204E-2	1,000040E-3	2,457106E+1	-4,214711E-6	1,000035E-3	-4,214563E-3	1,000000E+0	3,492460E-10	2,863311E+9	-1,873200E-5	1,000000E+0	-1,873200E-5
-2,371000E+3	-2,400000E+3	2,456742E-2	1,000045E-3	2,456631E+1	-4,439933E-6	1,000036E-3	-4,439773E-3	1,000000E+0	3,492460E-10	2,863311E+9	-1,505900E-5	1,000000E+0	-1,505900E-5
-3,306000E+3	-3,400000E+3	2,456363E-2	1,000037E-3	2,456272E+1	-4,527247E-6	1,000043E-3	-4,527052E-3	1,000000E+0	2,328306E-10	4,294968E+9	-1,837200E-5	1,000000E+0	-1,837200E-5
-4,392000E+3	-4,400000E+3	2,455851E-2	1,000040E-3	2,455753E+1	-4,558026E-6	1,000037E-3	-4,557857E-3	1,000000E+0	0,000000E+0	Inf	-1,773500E-5	1,000000E+0	-1,773500E-5
-5,415000E+3	-5,400000E+3	2,455464E-2	1,000041E-3	2,455363E+1	-4,618984E-6	1,000044E-3	-4,618781E-3	1,000000E+0	4,365575E-10	2,290649E+9	-1,796100E-5	1,000000E+0	-1,796100E-5
-6,444000E+3	-6,400000E+3	2,455152E-2	1,000042E-3	2,455049E+1	-4,665356E-6	1,000043E-3	-4,665155E-3	1,000000E+0	-2,910383E-11	-3,435974E+10	-1,727300E-5	1,000000E+0	-1,727300E-5
