Hmes(G)	Hcons(G)	V1xx (V)	I1xx(A)	R1xx(Ohm)	V2xy (V)	I2xx (A)	R2xy (Ohm)	Virt 	Iload ((A)	Rvirt (Ohm)	Vload (V)	Ivirt	Rvirt (Ohm)
4,753000E+3	4,558000E+3	2,486197E-2	1,000012E-3	2,486167E+1	3,092419E-5	1,000014E-3	3,092376E-2	1,000000E+0	-4,656613E-10	-2,147484E+9	1,788500E-5	1,000000E+0	1,788500E-5
6,067000E+3	6,058000E+3	2,484474E-2	1,000011E-3	2,484447E+1	2,963645E-5	1,000009E-3	2,963619E-2	1,000000E+0	-4,656613E-10	-2,147484E+9	1,747800E-5	1,000000E+0	1,747800E-5
7,546000E+3	7,558000E+3	2,481887E-2	1,000007E-3	2,481870E+1	2,806937E-5	1,000008E-3	2,806915E-2	1,000000E+0	-5,238689E-10	-1,908875E+9	1,804600E-5	1,000000E+0	1,804600E-5
9,001000E+3	9,058000E+3	2,478306E-2	1,000007E-3	2,478289E+1	2,604572E-5	1,000005E-3	2,604558E-2	1,000000E+0	-4,656613E-10	-2,147484E+9	1,500500E-5	1,000000E+0	1,500500E-5
1,053500E+4	1,055800E+4	2,474675E-2	1,000005E-3	2,474663E+1	2,380718E-5	1,000003E-3	2,380711E-2	1,000000E+0	-5,238689E-10	-1,908875E+9	1,266900E-5	1,000000E+0	1,266900E-5
1,205000E+4	1,205800E+4	2,472422E-2	1,000010E-3	2,472397E+1	2,214554E-5	1,000007E-3	2,214538E-2	1,000000E+0	-4,365575E-10	-2,290649E+9	9,933000E-6	1,000000E+0	9,933000E-6
1,344400E+4	1,355800E+4	2,471144E-2	1,000009E-3	2,471122E+1	2,117906E-5	1,000007E-3	2,117891E-2	1,000000E+0	-2,328306E-10	-4,294968E+9	9,002000E-6	1,000000E+0	9,002000E-6
1,488200E+4	1,500000E+4	2,470499E-2	1,000007E-3	2,470482E+1	2,021561E-5	1,000012E-3	2,021537E-2	1,000000E+0	-6,984919E-10	-1,431656E+9	9,156000E-6	1,000000E+0	9,156000E-6
1,388000E+4	1,350000E+4	2,471001E-2	1,000005E-3	2,470989E+1	2,180000E-5	1,000007E-3	2,179984E-2	1,000000E+0	-4,656613E-10	-2,147484E+9	1,154400E-5	1,000000E+0	1,154400E-5
1,246000E+4	1,200000E+4	2,472102E-2	1,000008E-3	2,472082E+1	2,282440E-5	1,000018E-3	2,282399E-2	1,000000E+0	-4,074536E-10	-2,454267E+9	1,055000E-5	1,000000E+0	1,055000E-5
