Ang. Meas. (°)	Ang. Cons. (°))	V1xx (V)	I1xx(A)	R1xx(Ohm)	V2xy (V)	I2xx (A)	R2xy (Ohm)	Virt	Iload ((A)	Rvirt (Ohm)	Vload (V)	Ivirt	Rvirt (Ohm).1	Temp (K)	Applied Field (G)
-3,999120E+1	-4,000000E+1	2,492298E-2	9,999955E-4	2,492309E+1	-6,537962E-6	9,999976E-4	-6,537977E-3	1,000000E+0	-6,693881E-10	-1,493902E+9	-2,103800E-5	1,000000E+0	-2,103800E-5	2,931200E+2	1,005000E+3
-3,000496E+1	-3,000000E+1	2,490702E-2	9,999964E-4	2,490711E+1	-3,612229E-6	9,999968E-4	-3,612240E-3	1,000000E+0	-6,402843E-10	-1,561806E+9	-1,893500E-5	1,000000E+0	-1,893500E-5	2,931100E+2	1,005000E+3
-2,000576E+1	-2,000000E+1	2,490871E-2	9,999961E-4	2,490881E+1	-8,925008E-7	9,999970E-4	-8,925034E-4	1,000000E+0	-5,238689E-10	-1,908875E+9	-1,887600E-5	1,000000E+0	-1,887600E-5	2,931000E+2	1,005000E+3
-1,000560E+1	-1,000000E+1	2,490198E-2	9,999942E-4	2,490212E+1	1,626859E-6	9,999978E-4	1,626862E-3	1,000000E+0	-5,529728E-10	-1,808407E+9	-1,534800E-5	1,000000E+0	-1,534800E-5	2,931000E+2	1,004000E+3
-5,600000E-3	0,000000E+0	2,490534E-2	1,000003E-3	2,490527E+1	4,153665E-6	9,999998E-4	4,153666E-3	1,000000E+0	-7,858034E-10	-1,272583E+9	-1,228900E-5	1,000000E+0	-1,228900E-5	2,930900E+2	1,004000E+3
9,993680E+0	1,000000E+1	2,490115E-2	9,999989E-4	2,490118E+1	6,695050E-6	9,999969E-4	6,695070E-3	1,000000E+0	-5,820766E-10	-1,717987E+9	-9,193000E-6	1,000000E+0	-9,193000E-6	2,930900E+2	1,005000E+3
1,999448E+1	2,000000E+1	2,489526E-2	9,999987E-4	2,489529E+1	9,129617E-6	9,999984E-4	9,129631E-3	1,000000E+0	-5,820766E-10	-1,717987E+9	-7,226000E-6	1,000000E+0	-7,226000E-6	2,930800E+2	1,005000E+3
2,999480E+1	3,000000E+1	2,489442E-2	1,000001E-3	2,489440E+1	1,143352E-5	1,000004E-3	1,143347E-2	1,000000E+0	-7,858034E-10	-1,272583E+9	-6,291000E-6	1,000000E+0	-6,291000E-6	2,930800E+2	1,005000E+3
3,999456E+1	4,000000E+1	2,489609E-2	9,999927E-4	2,489627E+1	1,417115E-5	9,999969E-4	1,417119E-2	1,000000E+0	-7,275958E-10	-1,374389E+9	1,329000E-6	1,000000E+0	1,329000E-6	2,930800E+2	1,005000E+3
4,999368E+1	5,000000E+1	2,489190E-2	9,999993E-4	2,489192E+1	1,807059E-5	1,000002E-3	1,807056E-2	1,000000E+0	-5,238689E-10	-1,908875E+9	7,110000E-7	1,000000E+0	7,110000E-7	2,930700E+2	1,005000E+3
5,999184E+1	6,000000E+1	2,489777E-2	1,000001E-3	2,489775E+1	2,396242E-5	1,000003E-3	2,396235E-2	1,000000E+0	-9,022187E-10	-1,108379E+9	9,037000E-6	1,000000E+0	9,037000E-6	2,930700E+2	1,005000E+3
6,999288E+1	7,000000E+1	2,488602E-2	9,999981E-4	2,488607E+1	3,474308E-5	9,999978E-4	3,474316E-2	1,000000E+0	-2,037268E-10	-4,908534E+9	1,765100E-5	1,000000E+0	1,765100E-5	2,930700E+2	1,006000E+3
7,999168E+1	8,000000E+1	2,485661E-2	1,000000E-3	2,485661E+1	6,165524E-5	1,000003E-3	6,165506E-2	1,000000E+0	-4,365575E-10	-2,290649E+9	4,733400E-5	1,000000E+0	4,733400E-5	2,930700E+2	1,006000E+3
8,999280E+1	9,000000E+1	2,444576E-2	1,000003E-3	2,444569E+1	3,709215E-5	1,000003E-3	3,709204E-2	1,000000E+0	-6,402843E-10	-1,561806E+9	2,166900E-5	1,000000E+0	2,166900E-5	2,930700E+2	1,006000E+3
9,999104E+1	1,000000E+2	2,487089E-2	9,999975E-4	2,487095E+1	-5,140780E-5	9,999950E-4	-5,140805E-2	1,000000E+0	-6,693881E-10	-1,493902E+9	-6,549000E-5	1,000000E+0	-6,549000E-5	2,930600E+2	1,007000E+3
1,099914E+2	1,100000E+2	2,489778E-2	1,000002E-3	2,489773E+1	-2,341910E-5	9,999980E-4	-2,341915E-2	1,000000E+0	-5,820766E-10	-1,717987E+9	-3,989500E-5	1,000000E+0	-3,989500E-5	2,930700E+2	1,007000E+3
1,199916E+2	1,200000E+2	2,489608E-2	1,000001E-3	2,489606E+1	-1,329412E-5	1,000004E-3	-1,329406E-2	1,000000E+0	-6,984919E-10	-1,431656E+9	-2,595900E-5	1,000000E+0	-2,595900E-5	2,930700E+2	1,007000E+3
1,299928E+2	1,300000E+2	2,488770E-2	1,000004E-3	2,488760E+1	-7,857891E-6	1,000000E-3	-7,857891E-3	1,000000E+0	-7,858034E-10	-1,272583E+9	-2,331900E-5	1,000000E+0	-2,331900E-5	2,930700E+2	1,007000E+3
1,399905E+2	1,400000E+2	2,490450E-2	1,000003E-3	2,490443E+1	-4,681588E-6	1,000001E-3	-4,681584E-3	1,000000E+0	-5,820766E-10	-1,717987E+9	-2,086200E-5	1,000000E+0	-2,086200E-5	2,930600E+2	1,007000E+3
1,499929E+2	1,500000E+2	2,490030E-2	1,000003E-3	2,490023E+1	-2,279925E-6	9,999997E-4	-2,279926E-3	1,000000E+0	-4,365575E-10	-2,290649E+9	-1,688000E-5	1,000000E+0	-1,688000E-5	2,930600E+2	1,007000E+3
1,599898E+2	1,600000E+2	2,490113E-2	9,999993E-4	2,490115E+1	-3,801001E-7	1,000005E-3	-3,800982E-4	1,000000E+0	-6,984919E-10	-1,431656E+9	-1,358000E-5	1,000000E+0	-1,358000E-5	2,930600E+2	1,008000E+3
1,699913E+2	1,700000E+2	2,489190E-2	9,999993E-4	2,489192E+1	1,319860E-6	9,999969E-4	1,319864E-3	1,000000E+0	-4,947651E-10	-2,021161E+9	-1,305500E-5	1,000000E+0	-1,305500E-5	2,930500E+2	1,008000E+3
1,799912E+2	1,800000E+2	2,489861E-2	9,999959E-4	2,489871E+1	3,025453E-6	9,999970E-4	3,025462E-3	1,000000E+0	-5,529728E-10	-1,808407E+9	-1,057800E-5	1,000000E+0	-1,057800E-5	2,930500E+2	1,008000E+3
1,899920E+2	1,900000E+2	2,488516E-2	9,999984E-4	2,488520E+1	4,727527E-6	9,999983E-4	4,727535E-3	1,000000E+0	-5,820766E-10	-1,717987E+9	-1,035000E-5	1,000000E+0	-1,035000E-5	2,930500E+2	1,008000E+3
1,999903E+2	2,000000E+2	2,488854E-2	1,000002E-3	2,488849E+1	6,748565E-6	1,000001E-3	6,748558E-3	1,000000E+0	-4,656613E-10	-2,147484E+9	-8,068000E-6	1,000000E+0	-8,068000E-6	2,930400E+2	1,008000E+3
