Ang. Meas. (°)	Ang. Cons. (°))	V1xx (V)	I1xx(A)	R1xx(Ohm)	V2xy (V)	I2xx (A)	R2xy (Ohm)	Virt	Iload ((A)	Rvirt (Ohm)	Vload (V)	Ivirt	Rvirt (Ohm).1	Temp (K)	Applied Field (G)
1,899930E+2	1,900000E+2	2,527225E-2	1,000017E-3	2,527182E+1	3,505895E-6	1,000016E-3	3,505839E-3	1,000000E+0	-7,858034E-10	-1,272583E+9	-5,060000E-6	1,000000E+0	-5,060000E-6	2,948400E+2	1,505500E+4
1,999918E+2	2,000000E+2	2,525694E-2	1,000017E-3	2,525651E+1	3,650139E-6	1,000021E-3	3,650062E-3	1,000000E+0	-1,047738E-9	-9,544371E+8	-8,280000E-6	1,000000E+0	-8,280000E-6	2,948900E+2	1,505500E+4
2,099920E+2	2,100000E+2	2,523064E-2	1,000019E-3	2,523016E+1	3,221322E-6	1,000019E-3	3,221261E-3	1,000000E+0	-5,820766E-11	-1,717987E+10	-9,975000E-6	1,000000E+0	-9,975000E-6	2,949500E+2	1,505500E+4
2,199929E+2	2,200000E+2	2,518963E-2	1,000019E-3	2,518915E+1	2,367011E-6	1,000018E-3	2,366969E-3	1,000000E+0	-9,313226E-10	-1,073742E+9	-7,386000E-6	1,000000E+0	-7,386000E-6	2,950000E+2	1,505400E+4
2,299915E+2	2,300000E+2	2,513375E-2	1,000019E-3	2,513327E+1	1,279936E-6	1,000023E-3	1,279907E-3	1,000000E+0	-5,820766E-11	-1,717987E+10	-9,565000E-6	1,000000E+0	-9,565000E-6	2,950500E+2	1,505400E+4
2,399919E+2	2,400000E+2	2,505750E-2	1,000017E-3	2,505707E+1	-2,535574E-7	1,000017E-3	-2,535531E-4	1,000000E+0	-2,037268E-10	-4,908534E+9	-1,161700E-5	1,000000E+0	-1,161700E-5	2,951100E+2	1,505300E+4
2,499913E+2	2,500000E+2	2,495683E-2	1,000019E-3	2,495636E+1	-2,475783E-6	1,000023E-3	-2,475726E-3	1,000000E+0	-1,746230E-10	-5,726622E+9	-1,220100E-5	1,000000E+0	-1,220100E-5	2,951600E+2	1,505200E+4
2,599932E+2	2,600000E+2	2,481772E-2	1,000016E-3	2,481732E+1	-7,035211E-6	1,000017E-3	-7,035091E-3	1,000000E+0	-2,328306E-10	-4,294968E+9	-1,636400E-5	1,000000E+0	-1,636400E-5	2,952200E+2	1,505100E+4
2,699918E+2	2,700000E+2	2,470437E-2	1,000019E-3	2,470390E+1	-1,890972E-5	1,000021E-3	-1,890932E-2	1,000000E+0	-2,328306E-10	-4,294968E+9	-2,720300E-5	1,000000E+0	-2,720300E-5	2,952700E+2	1,505000E+4
2,799933E+2	2,800000E+2	2,480832E-2	1,000025E-3	2,480770E+1	-2,733649E-5	1,000021E-3	-2,733592E-2	1,000000E+0	-1,746230E-10	-5,726622E+9	-3,880400E-5	1,000000E+0	-3,880400E-5	2,953200E+2	1,504900E+4
2,899930E+2	2,900000E+2	2,494706E-2	1,000018E-3	2,494661E+1	-2,558433E-5	1,000011E-3	-2,558405E-2	1,000000E+0	-1,746230E-10	-5,726622E+9	-3,607200E-5	1,000000E+0	-3,607200E-5	2,953800E+2	1,504800E+4
2,999906E+2	3,000000E+2	2,505655E-2	1,000020E-3	2,505605E+1	-2,164615E-5	1,000022E-3	-2,164568E-2	1,000000E+0	-2,037268E-10	-4,908534E+9	-3,346600E-5	1,000000E+0	-3,346600E-5	2,954300E+2	1,504600E+4
